names,quantity
ARNOLD,2 
ATHOS,2 
AUDI,2 
AURA,2 
AUSTIN,2 
AVERY,2 
AVIICII,2 
AWESOME,2 
AZUKI,2 
BABEE,2 
BABY BEAR,2 
BABY CAT,2 
BABY POTATO,2 
BABY RUTH,2 
BANANA,2 
BANJO,2 
BARBIE,2 
BARSIK,2 
BASTET,2 
BAUER,2 
BEAMER,2 
BEANIE,2 
BEAST,2 
BEATRIX,2 
BEAUREGARD,2 
BEAUTIFUL,2 
BELA,2 
BENJIE,2 
BENOIT,2 
BERRY,2 
BERTIE,2 
BETSY,2 
BIFF,2 
BIG M,2 
BILLI,2 
BINX,2 
BIRD,2 
BISCUITS,2 
BLACK,2 
BLACK BEAN,2 
BLAKE,2 
BLISS,2 
BLIZZARD,2 
BLONDIE,2 
BO BO,2 
BOBA,2 
BODHI,2 
BOGOTA,2 
BOO RADLEY,2 
BOOBOO,2 
BOOMER,2 
BOOTSY,2 
BOSCO,2 
BOSTON,2 
BOXER,2 
BRANDON,2 
BRANDY,2 
BRAVEHEART,2 
BRIA,2 
BRIAN,2 
BRIANNA,2 
BROCK,2 
BRONCO,2 
BRUCE WAYNE,2 
BUCK,2 
BUD,2 
BUG,2 
BUGS,2 
BURRITO,2 
BURTON,2 
BUTTERNUT,2 
BUTTON,2 
BYNX,2 
CAETANO,2 
CAFE,2 
CAGNEY,2 
CALIX,2 
CALLI,2 
CALLIOPE,2 
CALLY,2 
CAMI,2 
CANELA,2 
CAPTAIN,2 
CARA,2 
CARDI,2 
CARL,2 
CARLA,2 
CARLTON,2 
CARMINE,2 
CAROL,2 
CARROT CAKE,2 
CASPAR,2 
CASS,2 
CASTLE,2 
CAT 3,2 
CATNISS,2 
CATO,2 
CEASAR,2 
CERSEI,2 
CHANCE,2 
CHANTAL,2 
CHAOS,2 
CHAPLIN,2 
CHAUSSETTE,2 
CHAZ,2 
CHEEKA,2 
CHEEKY,2 
CHEESE,2 
CHEESECAKE,2 
CHESTER COPP,2 
CHESTNUT,2 
CHEWY,2 
CHILI,2 
CHOCO,2 
CHOCOLATE,2 
